seccion,categoria,nombre,handle,precio,precio_lista,precio_transferencia,talles,colores,sku_base,n_variantes,n_fotos,descripcion,url
bano,toallas,Toallón Dryfit Secado Rápido - Línea Essentials,toallon-dryfit-secado-rapido-linea-essentials,17428.57,18769.23,"$12.200,00",Único: 70x150cm,Gris,7798136924354,1,2,"Toallón Dryfit Secado Rápido línea Essentials Toallón de microfibra premium. Revolucioná tu rutina de secado con nuestro toallón Dryfit confeccionado 100% en microfibra de alta calidad. Su diseño de secado rápido, liviano y resistente lo convierte en el complemento ideal para entrenamientos físicos, viajes y/o días de playa. → Secado rápido de alta absorción → Textura suave, ideal para piel delicada → Liviano, compacto y duradero Un toallón que merece ser tu Media Naranja ? - Fotos illustrativas",https://www.medianaranja.store/productos/toallon-dryfit-secado-rapido-linea-essentials/
cocina,repasadores,Repasador Stelar - Línea Essentials,repasador-stelar-linea-essentials,6714.29,7230.77,"$4.700,00",Único: 44x65cm,Blanco | Chocolate | Gris | Negro,821071020101,4,5,"Repasador Stelar línea Essentials Repasador de cocina. Renová tu hogar con nuestro repasador Stelar confeccionado 88% algodón y 12% poliéster. Su diseño liviano y absorbente lo convierten en el complemento ideal para la practicidad del día a día. → Costuras reforzadas → Calidad súper resistente y absorbente → Práctico, liviano y funcional Un repasador que merece ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/repasador-stelar-linea-essentials/
dormitorio,acolchados,Acolchado Comfort - Línea Excellence,acolchado-comfort-linea-excellence,88714.29,95538.46,"$62.100,00",King: 280x250cm | Queen: 240x240cm | Twin: 180x240cm,Blanco | Cemento | Gris | Visón,7798136924255,12,5,Acolchado Comfort línea Excellence Set de acolchado con fundas premium. Sumergite en la comodidad diaria con nuestro acolchado Comfort de microfibra prelavada. Su textura súper mullida y extra suave lo convierte en la opción ideal para un descanso reparador todos los días. → Calidad premium → Textura súper suave y mullida → Relleno de fibra sintética Un acolchado que merece ser tu Media Naranja ? - Fotos illustrativas -,https://www.medianaranja.store/productos/acolchado-comfort-linea-excellence/
dormitorio,acolchados,Acolchado Double - Línea Essentials,acolchado-double-linea-essentials,69571.43,74923.08,"$48.700,00",King: 280x250cm | Queen: 220x240cm | Twin: 160x240cm,Azul | Blanco | Gris | Lila,7798136925221,12,5,"Acolchado Double línea Essentials Set de acolchado bitono reversible. Disfrutá el confort diario con nuestro acolchado Double de microfibra super soft. Su textura suave, peso liviano y diseño bicolor lo convierte en la opción ideal para renovar el descanso de cada día. → Color bitono reversible → Suave, abrigado y liviano → Relleno de microfibra Un acolchado que merece ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/acolchado-double-linea-essentials/
dormitorio,cubrecama,Cubrecama Cloud - Línea Essentials,cubrecama-cloud-linea-essentials,47285.71,50923.08,"$33.100,00",King: 280x250cm | Queen: 240x240cm | Twin: 170x240,Blanco | Gris | Lila,7798136923111,9,4,"Cubrecama Cloud línea Essentials Set de cubrecama con fundas. Renová tu descanso con nuestro cover Cloud confeccionado en microfibra soft. Su diseño de secado rápido, liviano y resistente lo convierte en el complemento ideal para la practicidad del día a día. → Secado rápido antiarrugas → Suave y resistente → Microfibra soft Un cover que merece ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/cubrecama-cloud-linea-essentials/
dormitorio,cubrecama,Cubrecama Cozy - Línea Excellence,cubrecama-cozy-linea-excellence,64428.57,69384.62,"$45.100,00",King: 280x250cm | Queen: 240x240cm | Twin: 170x240cm,Blanco | Gris | Visón,7798136923029,9,4,Cubrecama Cozy línea Excellence Set de cubrecama con fundas premium. Cuidá el descanso con la calidez de nuestro cover Cozy de microfibra prelavada súper soft. Su diseño liviano y extra suave lo convierte en el complemento ideal para el descanso de todos los días. → Calidad premium → Suave y liviano → Microfibra super soft Un cover que merece ser tu Media Naranja ? - Fotos illustrativas -,https://www.medianaranja.store/productos/cubrecama-cozy-linea-excellence/
dormitorio,frazadas,Frazada Corderito Square - Línea Essentials,frazada-corderito-square-linea-essentials,43571.43,46923.08,"$30.500,00",King: 240x270cm | Queen: 220x240cm | Twin: 160x240cm,Gris | Natural | Visón,7798136925351,9,4,"Frazada Square línea Essentials Frazada de invierno. Cuidá el descanso con la calidez de nuestra frazada Square confeccionada 100% en corderito, con interior tipo sherpa y exterior con textura jacquard. Su diseño suave, cálido y mullido lo convierte en el complemento ideal para el descanso invernal. → Calidez y abrigo asegurado → Confección 100% corderito → Suave, liviano y mullido Una frazada que merece ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/frazada-corderito-square-linea-essentials/
dormitorio,mantas,Manta Tejida Acrílica Dots - Línea Excellence,manta-tejida-acrilica-dots-linea-excellence,101000,108769.23,"$70.700,00",Natural | Visón,,7798136925436,2,3,"Manta Dots línea Excellence Manta premium. Decorá tu hogar con nuestra manta Dots confeccionada en tejido 100% acrílico de alta calidad. Su diseño premium y versátil la convierten en el complemento ideal para cada rincón de la casa. → Ideal para pie de cama y sillones → Confección 100% tejido acrílico → Suave, cálido y resistente Una manta que merece ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/manta-tejida-acrilica-dots-linea-excellence/
dormitorio,sabanas,Sábanas Percal 200 Hilos 100% Algodón - Línea Essentials,sabanas-percal-200-hilos-100-algodon-linea-essentials,100428.57,108153.85,"$70.300,00",King | Queen | Twin,Blanco | Gris | Lila,7798136922848,9,4,Sábanas Percal 200 Hilos 100% Algodón línea Essentials Set de sábanas con fundas. Disfrutá el descanso que mereces con nuestras Sábanas Percal de 200 Hilos confeccionadas 100% en algodón. Su textura suave y calidad duradera las convierten en la opción ideal para un descanso reparador del día a día. → Calidad premium → Confección de 200 Hilos - 100% algodón → Frescas y resistentes Unas sábanas que merecen ser tu Media Naranja ? - Fotos illustrativas -,https://www.medianaranja.store/productos/sabanas-percal-200-hilos-100-algodon-linea-essentials/
dormitorio,sabanas,Sábanas Satén 600 Hilos 100% Algodón - Línea Excellence,sabanas-saten-600-hilos-100-algodon-linea-excellence,189428.57,204000,"$132.600,00",King | Queen | Twin,Blanco | Gris | Visón,7798136922930,9,4,"Sábanas Satén 600 Hilos 100% Algodón línea Excellence Set de sábanas con fundas luxury. Disfrutá el descanso que mereces con nuestras Sábanas Satén de 600 Hilos confeccionadas 100% en algodón de calidad única hotelera. Su textura sedosa, confección liviana y calidad premium las convierten en la opción ideal para un descanso de excelencia. → Calidad luxury → Confección de 600 Hilos - 100% algodón → Suaves y duraderas Unas sábanas que merecen ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/sabanas-saten-600-hilos-100-algodon-linea-excellence/
